"","title","tempo","loudness","song_hotttnesss"
"131226","Purple Rain",114,-11.192,0.855857972638842
"450994","Gett Off (Flutestramental)",110,-13.218,0.819692259363382
"777231","Let's Go Crazy (LP Version)",97,-6.556,0.791196298200113
"922219","Cream ( LP Version W/O Rap Monologue )",115,-3.691,0.669094082975333
"824123","Diamonds And Pearls [Edit]",162,-7.468,0.652010036818513
"828725","Money Don't Matter 2 Night",110,-8.586,0.616067946746204
"747010","Sexy M.F. (LP Version)",106,-7.022,0.611050049949363
"934667","Kiss [Extended Version]",111,-6.625,0.53238942030914
"871646","Raspberry Beret [Extended 12"" Version]",121,-7.313,0.485761152925018
"6684","Erotic City ( LP Version)",125,-6.337,0.471971171793542
"37302","Let's Go Crazy [Special Dance Mix]",98,-4.832,0.444401714522851
"58769","Let's Go Crazy (LP Version)",98,-10.447,0.436560981238591
"997192","Pop Life (LP Version)",100,-11.701,0.436560981238591
"577316","Round and Round ( LP Version )",107,-10.485,0.430160637018456
"27581","Pop Life [Fresh Dance Mix]",100,-5.69,0.419125892959156
"755638","Erotic City (Make Love Not War Erotic City Come Alive) (Original 12""  Version)",123,-5.555,0.40148671142756
"306528","Gett Off",99,-7.22,0.4008629779458
"465973","She's Always In My Hair [12"" Version]",92,-4.989,0.386477291255459
"160168","Raspberry Beret (LP Version)",120,-7.69,0.323112120895212
"330548","Love Or Money",113,-13.186,0.323112120895212
"154972","Kiss (LP Version)",111,-7.239,0.299877488273978
"837163","Hello (12"" Extended Remix Version)",123,-10.328,0.299877488273978
"213393","Violet The Organ Grinder (LP Version)",100,-11.319,0.243202886507212
"334030","Gangster Glam (LP Version)",99,-10.925,0.220258389675226
"792197","Clockin' The Jizz ( Instrumental Version )",99,-10.392,0.216978419595235
